Record Length,2500,Points,,,Tiempo,Voltaje,
,,,,-1,2600000,-3.279.999.924,
,,,,-1,2600000,-3.279.999.924,
,,,,-1,2600000,-3.200.000.000,
,,,,-1,2600000,-3.279.999.924,
,,,,-1,2600000,-3.279.999.924,
,,,,-1,2500000,-3.279.999.924,
,,,,-1,2500000,-3.279.999.924,
,,,,-1,2500000,-3.279.999.924,
,,,,-1,2500000,-3.360.000.229,
,,,,-1,2500000,-3.279.999.924,
,,,,-1,2400000,-3.360.000.229,
,,,,-1,2400000,-3.279.999.924,
,,,,-1,2400000,-3.360.000.229,
,,,,-1,2400000,-3.360.000.229,
,,,,-1,2400000,-3.360.000.229,
,,,,-1,2300000,-3.440.000.153,
,,,,-1,2300000,-3.360.000.229,
,,,,-1,2300000,-3.360.000.229,
,,,,-1,2300000,-3.440.000.153,
,,,,-1,2300000,-3.440.000.153,
,,,,-1,2200000,-3.440.000.153,
,,,,-1,2200000,-3.520.000.076,
,,,,-1,2200000,-3.440.000.153,
,,,,-1,2200000,-3.520.000.076,
,,,,-1,2200000,-3.440.000.153,
,,,,-1,2100000,-3.440.000.153,
,,,,-1,2100000,-3.520.000.076,
,,,,-1,2100000,-3.440.000.153,
,,,,-1,2100000,-3.520.000.076,
,,,,-1,2100000,-3.520.000.076,
,,,,-1,2000000,-3.520.000.076,
,,,,-1,2000000,-3.520.000.076,
,,,,-1,2000000,-3.600.000.000,
,,,,-1,2000000,-3.520.000.076,
,,,,-1,2000000,-3.600.000.000,
,,,,-1,1900000,-3.520.000.076,
,,,,-1,1900000,-3.600.000.000,
,,,,-1,1900000,-3.600.000.000,
,,,,-1,1900000,-3.520.000.076,
,,,,-1,1900000,-3.600.000.000,
,,,,-1,1800000,-3.600.000.000,
,,,,-1,1800000,-3.679.999.924,
,,,,-1,1800000,-3.679.999.924,
,,,,-1,1800000,-3.600.000.000,
,,,,-1,1800000,-3.679.999.924,
,,,,-1,1700000,-3.679.999.924,
,,,,-1,1700000,-3.600.000.000,
,,,,-1,1700000,-3.760.000.229,
,,,,-1,1700000,-3.679.999.924,
,,,,-1,1700000,-3.760.000.229,
,,,,-1,1600000,-3.679.999.924,
,,,,-1,1600000,-3.679.999.924,
,,,,-1,1600000,-3.760.000.229,
,,,,-1,1600000,-3.760.000.229,
,,,,-1,1600000,-3.760.000.229,
,,,,-1,1500000,-3.760.000.229,
,,,,-1,1500000,-3.760.000.229,
,,,,-1,1500000,-3.760.000.229,
,,,,-1,1500000,-3.760.000.229,
,,,,-1,1500000,-3.760.000.229,
,,,,-1,1400000,-3.840.000.153,
,,,,-1,1400000,-3.760.000.229,
,,,,-1,1400000,-3.840.000.153,
,,,,-1,1400000,-3.840.000.153,
,,,,-1,1400000,-3.760.000.229,
,,,,-1,1300000,-3.840.000.153,
,,,,-1,1300000,-3.840.000.153,
,,,,-1,1300000,-3.760.000.229,
,,,,-1,1300000,-3.840.000.153,
,,,,-1,1300000,-3.840.000.153,
,,,,-1,1200000,-3.920.000.076,
,,,,-1,1200000,-3.920.000.076,
,,,,-1,1200000,-3.840.000.153,
,,,,-1,1200000,-4.000.000.000,
,,,,-1,1200000,-3.840.000.153,
,,,,-1,1100000,-4.000.000.000,
,,,,-1,1100000,-4.000.000.000,
,,,,-1,1100000,-3.920.000.076,
,,,,-1,1100000,-4.000.000.000,
,,,,-1,1100000,-3.920.000.076,
,,,,-1,1000000,-4.000.000.000,
,,,,-1,1000000,-4.079.999.924,
,,,,-1,1000000,-3.920.000.076,
,,,,-1,1000000,-4.079.999.924,
,,,,-1,1000000,-4.000.000.000,
,,,,-1,900000,-4.000.000.000,
,,,,-1,900000,-4.079.999.924,
,,,,-1,900000,-4.000.000.000,
,,,,-1,900000,-4.000.000.000,
,,,,-1,900000,-4.000.000.000,
,,,,-1,800000,-4.079.999.924,
,,,,-1,800000,-4.079.999.924,
,,,,-1,800000,-4.000.000.000,
,,,,-1,800000,-4.079.999.924,
,,,,-1,800000,-4.079.999.924,
,,,,-1,700000,-4.079.999.924,
,,,,-1,700000,-4.160.000.229,
,,,,-1,700000,-4.079.999.924,
,,,,-1,700000,-4.079.999.924,
,,,,-1,700000,-4.079.999.924,
,,,,-1,600000,-4.079.999.924,
,,,,-1,600000,-4.160.000.229,
,,,,-1,600000,-4.160.000.229,
,,,,-1,600000,-4.160.000.229,
,,,,-1,600000,-4.160.000.229,
,,,,-1,500000,-4.079.999.924,
,,,,-1,500000,-4.160.000.229,
,,,,-1,500000,-4.160.000.229,
,,,,-1,500000,-4.079.999.924,
,,,,-1,500000,-4.240.000.153,
,,,,-1,400000,-4.160.000.229,
,,,,-1,400000,-4.160.000.229,
,,,,-1,400000,-4.240.000.153,
,,,,-1,400000,-4.160.000.229,
,,,,-1,400000,-4.240.000.153,
,,,,-1,300000,-4.240.000.153,
,,,,-1,300000,-4.160.000.229,
,,,,-1,300000,-4.240.000.153,
,,,,-1,300000,-4.160.000.229,
,,,,-1,300000,-4.240.000.153,
,,,,-1,200000,-4.320.000.076,
,,,,-1,200000,-4.240.000.153,
,,,,-1,200000,-4.240.000.153,
,,,,-1,200000,-4.160.000.229,
,,,,-1,200000,-4.320.000.076,
,,,,-1,100000,-4.320.000.076,
,,,,-1,100000,-4.240.000.153,
,,,,-1,100000,-4.320.000.076,
,,,,-1,100000,-4.240.000.153,
,,,,-1,100000,-4.240.000.153,
,,,,-1,0,-4.320.000.076,
,,,,-1,0,-4.240.000.153,
,,,,-1,0,-4.240.000.153,
