Record Length,2500,Points,Tiempo,Voltaje
,,,-0.000450000079582,62
,,,-0.000449000101071,58
,,,-0.000448000093456,56
,,,-0.000447000085842,56
,,,-0.000446000078227,52
,,,-0.000445000099717,50
,,,-0.000444000092102,48
,,,-0.000443000084488,48
,,,-0.000442000076873,44
,,,-0.000441000098363,42
,,,-0.000440000090748,40
,,,-0.000439000083134,38
,,,-0.000438000104623,34
,,,-0.000437000097008,32
,,,-0.000436000089394,30
,,,-0.000435000081779,28
,,,-0.000434000103269,26
,,,-0.000433000095654,24
,,,-0.00043200008804,22
,,,-0.000431000080425,20
,,,-0.000430000101915,18
,,,-0.0004290000943,14
,,,-0.000428000086686,14
,,,-0.000427000079071,10
,,,-0.00042600010056,8
,,,-0.000425000092946,6
,,,-0.000424000085331,4
,,,-0.000423000077717,2
,,,-0.000422000099206,-2
,,,-0.000421000091592,-4
,,,-0.000420000083977,-6
,,,-0.000419000076363,-8
,,,-0.000418000097852,-10
,,,-0.000417000090238,-12
,,,-0.000416000082623,-14
,,,-0.000415000104113,-16
,,,-0.000414000096498,-20
,,,-0.000413000088884,-22
,,,-0.000412000081269,-24
,,,-0.000411000102758,-28
,,,-0.000410000095144,-28
,,,-0.000409000087529,-32
,,,-0.000408000079915,-34
,,,-0.000407000101404,-36
,,,-0.00040600009379,-40
,,,-0.000405000086175,-42
,,,-0.000404000078561,-44
,,,-0.00040300010005,-46
,,,-0.00040200009244,-48
,,,-0.00040100008482,-52
,,,-0.00040000007721,-54
,,,-0.0003990000987,-56
,,,-0.00039800009108,-60
,,,-0.00039700008347,-62
,,,-0.00039600010496,-64
,,,-0.00039500009734,-68
,,,-0.00039400008973,-70
,,,-0.00039300008211,-72
,,,-0.0003920001036,-74
,,,-0.00039100009599,-76
,,,-0.00039000008837,-80
,,,-0.00038900008076,-80
,,,-0.00038800010225,-84
,,,-0.00038700009463,-88
,,,-0.00038600008702,-90
,,,-0.0003850000794,-92
,,,-0.00038400010089,-94
,,,-0.00038300009328,-96
,,,-0.00038200008566,-98
,,,-0.00038100007805,-102
,,,-0.00038000009954,-104
,,,-0.00037900009193,-106
,,,-0.00037800008431,-110
,,,-0.0003770000767,-110
,,,-0.00037600009819,-112
,,,-0.00037500009057,-114
,,,-0.00037400008296,-118
,,,-0.00037300010445,-120
,,,-0.00037200009683,-122
,,,-0.00037100008922,-124
,,,-0.0003700000816,-126
,,,-0.00036900010309,-128
,,,-0.00036800009548,-128
,,,-0.00036700008786,-130
,,,-0.00036600008025,-130
,,,-0.00036500010174,-132
,,,-0.00036400009412,-132
,,,-0.00036300008651,-132
,,,-0.00036200007889,-132
,,,-0.00036100010038,-132
,,,-0.00036000009277,-132
,,,-0.00035900008515,-134
,,,-0.00035800007754,-134
,,,-0.00035700009903,-134
,,,-0.00035600009141,-134
,,,-0.0003550000838,-134
,,,-0.00035400007619,-134
,,,-0.00035300009768,-132
,,,-0.00035200009006,-134
,,,-0.00035100008245,-132
,,,-0.00035000010394,-132
,,,-0.00034900009632,-132
,,,-0.00034800008871,-132
,,,-0.00034700008109,-130
,,,-0.00034600010258,-130
,,,-0.00034500009497,-132
,,,-0.00034400008735,-130
,,,-0.00034300007974,-130
,,,-0.00034200010123,-128
,,,-0.00034100009361,-128
,,,-0.000340000086,-128
,,,-0.00033900007838,-126
,,,-0.00033800009987,-126
,,,-0.00033700009226,-126
,,,-0.00033600008464,-124
,,,-0.00033500007703,-122
,,,-0.00033400009852,-122
,,,-0.0003330000909,-122
