Record Length,2500,Points,Tiempo1,Voltaje1,,Record Length,2500,Points,Tiempo2,Voltaje2
,,,-0.0010580001,1,,,,,-0.0010580001,42.40000153
,,,-0.0010570001,1,,,,,-0.0010570001,42.40000153
,,,-0.0010560001,0.600000023842,,,,,-0.0010560001,42.40000153
,,,-0.0010550001,0.600000023842,,,,,-0.0010550001,41.60000229
,,,-0.0010540001,0.40000000596,,,,,-0.0010540001,41.60000229
,,,-0.0010530001,0.20000000298,,,,,-0.0010530001,41.60000229
,,,-0.0010520001,0.20000000298,,,,,-0.0010520001,41.60000229
,,,-0.0010510001,-0.20000000298,,,,,-0.0010510001,41.60000229
,,,-0.0010500001,-0.20000000298,,,,,-0.0010500001,40.79999924
,,,-0.0010490001,-0.40000000596,,,,,-0.0010490001,41.60000229
,,,-0.0010480001,-0.600000023842,,,,,-0.0010480001,40.79999924
,,,-0.0010470001,-0.600000023842,,,,,-0.0010470001,40.79999924
,,,-0.001046,-0.800000011921,,,,,-0.001046,40
,,,-0.001045,-1,,,,,-0.001045,40.79999924
,,,-0.001044,-1.2,,,,,-0.001044,40.79999924
,,,-0.0010430001,-1.4,,,,,-0.0010430001,40
,,,-0.0010420001,-1.6,,,,,-0.0010420001,40
,,,-0.0010410001,-1.6,,,,,-0.0010410001,39.20000076
,,,-0.0010400001,-1.8000001,,,,,-0.0010400001,39.20000076
,,,-0.0010390001,-1.8000001,,,,,-0.0010390001,39.20000076
,,,-0.0010380001,-2,,,,,-0.0010380001,39.20000076
,,,-0.0010370001,-2.2,,,,,-0.0010370001,38.40000153
,,,-0.0010360001,-2.4000001,,,,,-0.0010360001,39.20000076
,,,-0.0010350001,-2.6000001,,,,,-0.0010350001,38.40000153
,,,-0.0010340001,-2.79999995,,,,,-0.0010340001,37.60000229
,,,-0.0010330001,-2.79999995,,,,,-0.0010330001,38.40000153
,,,-0.0010320001,-3,,,,,-0.0010320001,37.60000229
,,,-0.0010310001,-3.20000005,,,,,-0.0010310001,37.60000229
,,,-0.00103,-3.4000001,,,,,-0.00103,37.60000229
,,,-0.001029,-3.4000001,,,,,-0.001029,37.60000229
,,,-0.0010280001,-3.60000014,,,,,-0.0010280001,36.79999924
,,,-0.0010270001,-3.79999995,,,,,-0.0010270001,36.79999924
,,,-0.0010260001,-3.60000014,,,,,-0.0010260001,36
,,,-0.0010250001,-4,,,,,-0.0010250001,36
,,,-0.0010240001,-4.20000029,,,,,-0.0010240001,36
,,,-0.0010230001,-4.4000001,,,,,-0.0010230001,36
,,,-0.0010220001,-4.4000001,,,,,-0.0010220001,35.20000076
,,,-0.0010210001,-4.4000001,,,,,-0.0010210001,35.20000076
,,,-0.0010200001,-4.5999999,,,,,-0.0010200001,35.20000076
,,,-0.0010190001,-4.5999999,,,,,-0.0010190001,35.20000076
,,,-0.0010180001,-4.80000019,,,,,-0.0010180001,35.20000076
,,,-0.0010170001,-5.20000029,,,,,-0.0010170001,34.40000153
,,,-0.0010160001,-5.20000029,,,,,-0.0010160001,34.40000153
,,,-0.001015,-5.20000029,,,,,-0.001015,33.60000229
,,,-0.001014,-5.5999999,,,,,-0.001014,33.60000229
,,,-0.0010130001,-5.5999999,,,,,-0.0010130001,33.60000229
,,,-0.0010120001,-5.80000019,,,,,-0.0010120001,32.79999924
,,,-0.0010110001,-6,,,,,-0.0010110001,32.79999924
,,,-0.0010100001,-5.80000019,,,,,-0.0010100001,32
,,,-0.0010090001,-6,,,,,-0.0010090001,32
,,,-0.0010080001,-6.20000029,,,,,-0.0010080001,32
,,,-0.0010070001,-6.20000029,,,,,-0.0010070001,32
,,,-0.0010060001,-6.4000001,,,,,-0.0010060001,31.20000076
,,,-0.0010050001,-6.4000001,,,,,-0.0010050001,32
,,,-0.0010040001,-6.5999999,,,,,-0.0010040001,31.20000076
,,,-0.0010030001,-6.5999999,,,,,-0.0010030001,31.20000076
,,,-0.0010020001,-6.80000019,,,,,-0.0010020001,30.39999962
,,,-0.0010010001,-6.80000019,,,,,-0.0010010001,29.60000038
,,,-0.001,-7,,,,,-0.001,30.39999962
,,,-0.000999000039883,-7,,,,,-0.000999000039883,29.60000038
,,,-0.000998000032268,-7,,,,,-0.000998000032268,28.80000114
,,,-0.000997000141069,-7.20000029,,,,,-0.000997000141069,29.60000038
,,,-0.000996000133455,-7.400000095,,,,,-0.000996000133455,28.80000114
,,,-0.00099500012584,-7.400000095,,,,,-0.00099500012584,28.80000114
,,,-0.000994000118226,-7.400000095,,,,,-0.000994000118226,28
,,,-0.000993000110611,-7.599999905,,,,,-0.000993000110611,28
,,,-0.000992000102997,-7.599999905,,,,,-0.000992000102997,28
,,,-0.000991000095382,-7.800000191,,,,,-0.000991000095382,28
,,,-0.000990000087768,-7.800000191,,,,,-0.000990000087768,27.20000076
,,,-0.000989000080153,-7.800000191,,,,,-0.000989000080153,27.20000076
,,,-0.000988000072539,-8,,,,,-0.000988000072539,26.39999962
,,,-0.000987000064924,-8,,,,,-0.000987000064924,26.39999962
,,,-0.00098600005731,-8.199999809,,,,,-0.00098600005731,25.60000038
,,,-0.000985000049695,-8.199999809,,,,,-0.000985000049695,26.39999962
,,,-0.000984000042081,-8.199999809,,,,,-0.000984000042081,25.60000038
,,,-0.000983000034466,-8.199999809,,,,,-0.000983000034466,24.80000114
